,评论,分类
5575,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5576,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5577,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5578,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5579,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5580,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5581,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5582,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5583,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5584,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5585,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5586,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5587,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5588,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5589,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5590,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5591,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5592,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5593,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5594,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5595,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5596,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5597,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5598,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5599,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5600,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5601,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5602,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5603,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5604,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5605,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5606,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5607,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5608,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5609,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5610,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5611,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5612,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5613,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5614,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5615,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5616,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5617,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5618,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5619,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5620,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5621,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5622,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5623,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5624,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5625,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5626,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5627,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5628,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5629,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5630,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5631,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5632,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5633,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5634,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5635,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5636,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5637,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5638,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5639,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5640,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5641,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5642,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5643,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5644,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5645,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5646,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5647,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5648,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5649,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5650,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5651,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5652,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5653,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5654,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5655,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5656,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5657,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5658,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5659,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5660,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5661,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5662,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5663,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5664,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5665,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5666,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5667,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5668,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5669,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5670,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5671,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5672,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5673,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5674,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
